Invoice_ID,Date,Store,Category,Product,Quantity,Unit_Price,Total_Price,Discount,Net_Price,Payment_Method,Customer_Name,Customer_City,Customer_Email
c6bc1acf-dac5-4e96-9e47-eeaf13b92a46,2024-02-15,Store_2,Vegetables,Tomato,5,130.0,650.0,22.67,627.33,Wallet,Tamara Waller,North Mariehaven,ryan80@white-taylor.com
a662a33a-e5b2-4dd1-b6a5-afdf95fcfc4e,2024-04-13,Store_4,Vegetables,Broccoli,7,25.57,178.99,4.19,174.8,Wallet,April Johnston,North Christopher,jasonroberts@gmail.com
7ec28335-9b7c-49ed-a6da-8e2efb11313e,2023-12-31,Store_9,Personal Care,Lotion,9,107.43,966.87,157.09,809.78,UPI,Troy Berg,West Nicholasmouth,dvargas@murillo-smith.biz
2f59873d-e973-41e0-ba23-97cdd3b15f30,2024-09-20,Store_3,Snacks,Popcorn,10,146.31,1463.1,317.97,1145.13,UPI,Ashley Oneal,Ravenberg,david71@gmail.com
6089710c-10a4-4dd0-88b2-91ee4c3f90ad,2024-01-10,Store_2,Bakery,Croissant,3,115.5,346.5,66.14,280.36,Cash,Rita Johnson,Josephstad,joel06@yahoo.com
fe0574f3-3527-4660-b2bc-165b0c429b71,2024-12-18,Store_1,Frozen Foods,Frozen Pizza,6,425.27,2551.62,385.12,2166.5,UPI,Christina Porter,South Sarah,piercejohn@hawkins.com
69b6a756-e3ae-4c4b-9a6f-2ba8dc701c4f,2025-07-22,Store_10,Household,Detergent,7,48.61,340.27,24.94,315.33,Debit Card,Donna King,Kennethburgh,johnsonzachary@gmail.com
d5bc102f-6942-42fb-add9-0ee4486b0984,2024-03-23,Store_5,Personal Care,Deodorant,2,32.45,64.9,3.7,61.2,Cash,Kathryn Mitchell,Stevensfurt,mitchellpaul@blake.org
ea2d48c6-471f-4352-a858-88c522e7cb98,2024-09-23,Store_6,Snacks,Chips,7,146.21,1023.47,162.65,860.82,Credit Card,Dr. William Zavala,Leonardberg,mariejackson@scott-hill.com
28400d2c-c0ee-4899-bd27-37a46271af74,2023-11-17,Store_2,Bakery,Croissant,4,338.39,1353.56,237.49,1116.07,Wallet,Gloria Martin,South Brandonview,pittmanjames@hotmail.com
0371b79b-e71c-4bbc-bd27-bc9e32124e53,2025-03-09,Store_9,Dairy,Cream,4,90.07,360.28,34.18,326.1,Credit Card,Gregory Rich,New Adam,amanda31@sutton.org
653598d1-541a-45c3-b811-a5285a0642d8,2025-04-23,Store_7,Bakery,Bread,4,412.68,1650.72,332.23,1318.49,Debit Card,Crystal Shields,North Melissa,cowanbrenda@thomas-gomez.com
9a0107d7-a80d-421f-be84-aea00bdb6530,2025-05-28,Store_8,Vegetables,Potato,10,439.42,4394.2,345.69,4048.51,UPI,Kevin Hughes,Whiteville,lstephens@johnson.biz
c77cd7bb-6943-48fd-9fed-a2614edc1dc3,2024-12-06,Store_9,Meat,Beef,5,78.42,392.1,73.03,319.07,Debit Card,Richard Nelson,Millerview,carmen50@yahoo.com
9709cc30-e312-4378-8be7-07de8afac0fa,2023-10-20,Store_3,Personal Care,Face Wash,10,205.71,2057.1,112.79,1944.31,Wallet,Ryan Romero,South Morgan,robertthompson@gmail.com
1ba32e52-a756-4c3d-9c6b-9085e5523dbf,2024-10-29,Store_3,Meat,Chicken,1,431.94,431.94,16.5,415.44,UPI,Regina Bell,Henryshire,jamesrodriguez@koch.org
49220db1-a692-4ea4-aaa9-ab00441e7c65,2023-11-06,Store_9,Personal Care,Lotion,7,196.99,1378.93,343.4,1035.53,Debit Card,Jennifer Olsen,Georgeville,mark25@stewart.biz
0664eb99-63fa-403a-82c6-f478023b627e,2025-01-13,Store_5,Household,Detergent,2,344.04,688.08,92.37,595.71,Debit Card,William Becker,Coxborough,jeffery79@oliver.info
36926614-f25a-46dd-beff-4ceffb383096,2025-01-24,Store_5,Vegetables,Onion,7,87.5,612.5,0.5,612.0,Wallet,Patrick Wilson,Mullinsville,montgomerymelissa@zuniga.net
c0564670-51fa-48f7-9f7a-a3f75f55b5f1,2024-01-12,Store_9,Dairy,Cream,2,436.55,873.1,65.14,807.96,Wallet,Brian Robertson,Chadton,robertluna@gmail.com
a7ba70ba-c899-4797-90cf-c27cc5bfaf62,2024-03-14,Store_9,Snacks,Cookies,6,383.63,2301.78,310.38,1991.4,Cash,Robert Beltran,Williamsmouth,wendy71@yahoo.com
fb3c9283-96c6-4416-9c49-ae021c4bcce0,2025-07-25,Store_5,Personal Care,Toothbrush,8,19.54,156.32,36.31,120.01,Credit Card,Megan Estrada,Eugenemouth,jessica33@yahoo.com
d72ddee4-e880-42b9-a3c4-bf81ff35f75c,2024-06-30,Store_8,Fruits,Banana,10,474.01,4740.1,101.5,4638.6,Cash,Brooke Moore,Davisfort,cantutammy@yahoo.com
1ab326bf-2dc1-4689-86d2-2b1e7609d383,2024-08-09,Store_3,Household,Soap,3,333.28,999.84,236.67,763.17,Debit Card,Melissa Williamson,Davisburgh,shawn64@willis.biz
e2fdab61-0bde-410c-99f4-9baa3fe39413,2025-01-20,Store_4,Household,Cleaner,7,482.54,3377.78,784.42,2593.36,Debit Card,David Thomas,Martinport,ffletcher@singh.biz
e54c921f-b042-4aca-a382-6399b355c194,2024-11-13,Store_4,Frozen Foods,Frozen Peas,8,450.81,3606.48,407.07,3199.41,Credit Card,Jose Arnold,North Marilyn,walkerlaura@hotmail.com
cb55d602-1127-4d3a-9f29-cf4d871ef28a,2025-06-10,Store_4,Vegetables,Onion,1,298.27,298.27,17.16,281.11,Cash,Laurie Young,Port Johnberg,xcarson@hotmail.com
ccf2f6c2-096c-42f8-9925-159b090af60e,2025-06-01,Store_6,Vegetables,Spinach,1,122.18,122.18,27.66,94.52,Cash,Sylvia Santiago,Mccormickville,kenneth37@williams.com
9949e128-30e4-43d4-b767-64c1a183990c,2025-01-22,Store_3,Household,Soap,5,337.8,1689.0,90.46,1598.54,Wallet,John Garza,Debbieborough,abennett@nguyen.com
8afe1714-bde3-41d0-8fbf-7c21e6e3c532,2024-07-24,Store_4,Personal Care,Face Wash,4,394.46,1577.84,318.53,1259.31,Cash,Michael Baker,Andersonstad,marmstrong@mcfarland-davis.com
00149301-d62c-47fc-930b-e26dc3495b1f,2025-04-20,Store_1,Vegetables,Spinach,7,183.61,1285.27,132.09,1153.18,Cash,Kevin Stone,Delgadoberg,ngalvan@perry.com
274f7ec9-4e76-497a-a84b-1c36441163af,2023-10-16,Store_4,Fruits,Grapes,6,402.29,2413.74,65.94,2347.8,Credit Card,Jamie Russo,Richardtown,tim43@gmail.com
6b9642c8-82a1-40c2-a419-becab8a489c5,2024-10-10,Store_4,Household,Toothpaste,3,216.72,650.16,45.27,604.89,Cash,Melissa Berry,North Jenniferbury,iwalters@hotmail.com
445ad58a-f98a-47f8-9721-5feda49b514b,2024-06-26,Store_1,Meat,Chicken,1,329.55,329.55,44.54,285.01,Cash,Kyle Ortiz,Faithfort,monicadavis@james.biz
ec583ed3-ca5f-4dc7-b764-a7df0c32cafc,2025-04-08,Store_7,Snacks,Cookies,7,247.96,1735.72,92.75,1642.97,Cash,John Kirk,South Kathy,kwright@gmail.com
61d2b938-9bd7-4b57-92b8-3d23504dde30,2023-11-30,Store_8,Dairy,Yogurt,1,492.8,492.8,32.67,460.13,Debit Card,Samantha Bishop,Madelinechester,riveraveronica@gmail.com
19f8114c-bbda-4057-9ef8-8559a40bfb3f,2023-10-29,Store_1,Frozen Foods,Frozen Fries,3,103.05,309.15,16.83,292.32,Wallet,Jeffrey Gray,Kellymouth,fbrown@banks.com
65046949-a9e3-487e-bd76-8bd5516b4451,2024-10-20,Store_9,Household,Detergent,6,38.01,228.06,33.31,194.75,Wallet,Erin Jones,New Carmen,johnsoncatherine@bennett.org
880455f6-5731-401b-b0ff-f42c8724746e,2024-07-31,Store_10,Dairy,Milk,9,49.25,443.25,20.59,422.66,Cash,Dr. Erin Davis,East Brian,fgarcia@huff.info
22b2531f-1432-44c9-99b9-156b2e070640,2025-02-09,Store_10,Snacks,Popcorn,2,471.38,942.76,134.27,808.49,Wallet,Vanessa Sutton,Wilsonchester,ealvarez@walter.biz
7f7c4ae9-2b8f-4bca-84af-01a1b0577cb7,2023-11-13,Store_9,Fruits,Mango,2,215.42,430.84,62.87,367.97,Debit Card,James Johnson,South Davidchester,camerondaniels@hotmail.com
ba66d53e-8021-41bb-a2bb-2df40aa72da8,2023-11-23,Store_5,Beverages,Pepsi,6,126.96,761.76,75.37,686.39,UPI,Jesse Parsons,East Donnaberg,william88@yahoo.com
2df2d929-3596-4861-8792-bcd0931ea54d,2024-05-31,Store_2,Bakery,Bread,1,234.56,234.56,58.55,176.01,Cash,Lauren Avila,Simsborough,tiffany62@gmail.com
5b807ddc-5b32-4084-a6cc-b788bea9b6e3,2025-01-09,Store_2,Household,Soap,9,139.95,1259.55,293.87,965.68,Credit Card,Kathleen Sanchez,New William,xlee@gmail.com
cdaa2dfd-144a-427e-a6a0-27aa790665af,2024-07-25,Store_5,Bakery,Croissant,3,224.71,674.13,91.55,582.58,Wallet,David Hatfield,West Jeffery,zshaw@hotmail.com
7dafebbc-8b6f-40e7-a47a-67b8ab2f1220,2024-02-02,Store_3,Household,Detergent,9,156.7,1410.3,233.89,1176.41,Debit Card,Paula Rodriguez,Kellyburgh,millsnicholas@washington-taylor.com
e9a86ef7-a8b3-45d3-9501-c51062046744,2025-10-05,Store_4,Vegetables,Tomato,9,86.17,775.53,54.63,720.9,Debit Card,Sharon Allen,Castillochester,joshua57@hotmail.com
22e5dbfa-05e6-4cdb-a6ea-7feb26953d8a,2023-12-09,Store_1,Snacks,Chocolate,9,249.38,2244.42,507.99,1736.43,Cash,Shane Keller,Port Scott,brandonstanley@hotmail.com
6156e4d0-5bc7-485a-a237-774a2d24fb81,2024-01-19,Store_5,Frozen Foods,Frozen Peas,1,11.74,11.74,2.26,9.48,Credit Card,Evan Roach,East Tammy,shawnaharris@gmail.com
38300929-0068-4198-85cf-38854d2b0968,2025-05-05,Store_3,Meat,Pork,9,14.74,132.66,2.5,130.16,Wallet,Amanda Moreno,Jonesberg,lesterjoshua@yahoo.com
77c40239-c325-4a1a-a759-fed3432be5cc,2023-12-10,Store_1,Fruits,Orange,10,280.74,2807.4,301.65,2505.75,Debit Card,Alexis Hanson,Lake Jonathanmouth,joseph64@ferguson-evans.com
08739159-8248-4718-acea-a15784fe3dd7,2024-09-03,Store_2,Bakery,Bread,6,112.94,677.64,42.27,635.37,Debit Card,Eric Michael,New Chris,tonyacontreras@yahoo.com
7fda7383-aa28-4011-8043-ceb849e3c4d5,2024-02-03,Store_4,Household,Toothpaste,10,377.24,3772.4,873.09,2899.31,Credit Card,Toni Johnson,Shawnview,carolyn71@hotmail.com
70e4ae37-853f-4a64-93a4-3b6dfc6c6ea4,2024-08-28,Store_7,Dairy,Yogurt,1,97.89,97.89,22.62,75.27,Credit Card,Michael Watkins,Johnsonhaven,wyattjason@rios.org
5f112394-d090-4bfb-94e7-4b2cfd3c8b9f,2024-01-12,Store_8,Beverages,Pepsi,2,197.45,394.9,3.82,391.08,Credit Card,Peter Garcia,Lake Amandamouth,rebecca68@yahoo.com
35ad998d-70aa-48a7-9327-d6781ec4af25,2024-12-07,Store_4,Snacks,Popcorn,6,159.54,957.24,190.33,766.91,Credit Card,Peter Nguyen,Leefurt,joshuadaniel@hotmail.com
dab64012-5d32-40a6-a4fb-0926d169db72,2025-05-09,Store_2,Fruits,Pineapple,4,205.25,821.0,57.18,763.82,Debit Card,Robert Turner,North Chelsea,newmanlatasha@yahoo.com
a945b508-7386-484a-a560-d10573e874e3,2025-04-06,Store_6,Bakery,Donut,7,342.96,2400.72,506.35,1894.37,Cash,Austin Cisneros,Richardborough,ogallagher@gmail.com
8d824e4a-9057-4b12-8331-148819890600,2023-10-12,Store_1,Vegetables,Onion,3,294.49,883.47,217.23,666.24,Cash,Brianna Nicholson,West David,cherylharris@medina.com
7f10e770-887d-4c2d-8eb8-7ed06e63a3c6,2024-01-21,Store_10,Personal Care,Face Wash,6,366.99,2201.94,172.67,2029.27,Wallet,Jennifer Gomez,Masonmouth,teresa14@zimmerman-hess.com
38c1ed9c-2204-4896-872f-45590bbbfd65,2025-03-14,Store_7,Vegetables,Carrot,10,103.14,1031.4,11.45,1019.95,Cash,Cathy Hawkins,Port Dominichaven,katiegonzalez@gmail.com
0bf41fbc-7fa8-4f54-b479-d30d23418e42,2024-03-19,Store_6,Household,Cleaner,4,188.47,753.88,13.19,740.69,Wallet,Alicia Ward DDS,North Calebfort,claytongonzalez@gmail.com
cdf3ec6f-6d7e-40f6-b6ad-0fc05fd48dd1,2025-03-17,Store_6,Bakery,Bread,5,258.49,1292.45,215.48,1076.97,UPI,Angela Chavez,Kellyport,bobbyjohnson@gmail.com
68bdf309-13b6-4e4a-bdca-59b0275f5631,2024-11-21,Store_7,Beverages,Coffee,3,104.0,312.0,51.86,260.14,Credit Card,Stephanie Young,West Jonathan,perezpamela@chan-morales.com
62cf83a4-b80a-4f3c-9abf-c98982e1284c,2024-04-12,Store_5,Personal Care,Hair Oil,5,208.98,1044.9,217.79,827.11,Debit Card,Christian Wilson,New Jennifer,gardnerjohn@clayton-harding.info
ffce9b43-a045-4f63-be55-a21d66a95fe2,2025-01-08,Store_8,Snacks,Popcorn,10,307.26,3072.6,247.54,2825.06,UPI,Kevin Delgado,Johnville,stacey18@allen.com
89944005-8c43-4a0c-a4e9-81db63be48a1,2024-07-07,Store_3,Snacks,Nuts,8,398.93,3191.44,765.81,2425.63,Cash,Mary Mann,East Denise,michaelanderson@hotmail.com
553c42b8-9e2a-4d82-bc61-bf562d590986,2024-03-04,Store_4,Beverages,Coffee,10,174.24,1742.4,356.51,1385.89,Debit Card,Rebecca Jefferson,Lynnview,wagnerchristopher@hotmail.com
